;Unnamed: 0;algorithm;mse;rmse;r2;adj_r2;mae
4;4;air_transport/word2vec_cbow_10000000_100,txt;21745061,21;4663,16;0,1383;1,8279;3561,37
5;5;air_transport/word2vec_cbow_10000000_100,txt;22355208,44;4728,13;0,1142;1,8511;3578,46
6;6;air_transport/word2vec_cbow_10000000_100,txt;23068195,6;4802,94;0,0859;1,8782;3639,51
7;7;air_transport/word2vec_cbow_10000000_100,txt;23037255,9;4799,71;0,0871;1,8771;3685,17
8;8;air_transport/word2vec_cbow_10000000_100,txt;21853422,41;4674,76;0,134;1,832;3581,62
9;9;air_transport/word2vec_cbow_10000000_100,txt;21987371,48;4689,07;0,1287;1,8371;3540,13
10;10;air_transport/word2vec_cbow_10000000_100,txt;23495146,92;4847,18;0,069;1,8945;3691,86
11;11;air_transport/word2vec_cbow_10000000_100,txt;22181024,81;4709,67;0,1211;1,8445;3541,78
12;12;air_transport/word2vec_cbow_10000000_100,txt;22388846,73;4731,69;0,1128;1,8524;3646,9
13;13;air_transport/word2vec_cbow_10000000_100,txt;22816093,14;4776,62;0,0959;1,8686;3644,7
14;14;air_transport/word2vec_cbow_10000000_100,txt;22771554,1;4771,95;0,0977;1,867;3626,45
15;15;air_transport/word2vec_cbow_10000000_100,txt;22101550,3;4701,23;0,1242;1,8414;3535,68
16;16;air_transport/word2vec_cbow_10000000_100,txt;22533369,34;4746,93;0,1071;1,8579;3608,51
17;17;air_transport/word2vec_cbow_10000000_100,txt;21765687,06;4665,37;0,1375;1,8287;3596,45
18;18;air_transport/word2vec_cbow_10000000_100,txt;22375536,83;4730,28;0,1134;1,8519;3621,6
19;19;air_transport/word2vec_cbow_10000000_100,txt;22833435,52;4778,43;0,0952;1,8693;3686,15
20;20;air_transport/word2vec_cbow_10000000_100,txt;22520092,2;4745,53;0,1076;1,8574;3610,36
21;21;air_transport/word2vec_cbow_10000000_100,txt;22967340,26;4792,43;0,0899;1,8744;3630,57
22;22;air_transport/word2vec_cbow_10000000_100,txt;22427729,78;4735,79;0,1113;1,8539;3599,67
23;23;air_transport/word2vec_cbow_10000000_100,txt;23308847,18;4827,92;0,0764;1,8874;3717,21
24;24;air_transport/word2vec_cbow_10000000_100,txt;22338172,68;4726,33;0,1148;1,8505;3566,07
25;25;air_transport/word2vec_cbow_10000000_100,txt;22424815,33;4735,48;0,1114;1,8538;3623,87
26;26;air_transport/word2vec_cbow_10000000_100,txt;22183058,17;4709,89;0,121;1,8445;3638,56
27;27;air_transport/word2vec_cbow_10000000_100,txt;22802809,66;4775,23;0,0964;1,8681;3657,75
28;28;air_transport/word2vec_cbow_10000000_100,txt;22476331,75;4740,92;0,1094;1,8557;3601,78
29;29;air_transport/word2vec_cbow_10000000_100,txt;22255401,45;4717,56;0,1181;1,8473;3619,66
30;30;air_transport/word2vec_cbow_10000000_100,txt;21785075,86;4667,45;0,1368;1,8294;3561,98
31;31;air_transport/word2vec_cbow_10000000_100,txt;22230069;4714,88;0,1191;1,8463;3611,41
32;32;air_transport/word2vec_cbow_10000000_100,txt;22236414,16;4715,55;0,1189;1,8466;3585,97
33;33;air_transport/word2vec_cbow_10000000_100,txt;23044529,56;4800,47;0,0868;1,8773;3661,58
34;34;air_transport/word2vec_cbow_10000000_100,txt;22874823,48;4782,76;0,0936;1,8709;3585,07
35;35;air_transport/word2vec_cbow_10000000_100,txt;22230139,92;4714,88;0,1191;1,8463;3587,65
36;36;air_transport/word2vec_cbow_10000000_100,txt;23173181,56;4813,85;0,0817;1,8822;3644
37;37;air_transport/word2vec_cbow_10000000_100,txt;22707874,87;4765,28;0,1002;1,8645;3637,12
38;38;air_transport/word2vec_cbow_10000000_100,txt;22691308,59;4763,54;0,1008;1,8639;3682,58
